,cnpj,raiz_cnpj,matriz_filial,razao_social,opcao_pelo_simples,capital_social,bairro,municipio
0,126195000110,126195,MATRIZ,TRAMA SOFTWARE LTDA,NAO,0,BIGORRILHO,CURITIBA
1,155991000181,155991,MATRIZ,ELEKTI - APOIO A EDUCACAO E FORNECIMENTO DE BOLSAS DE ESTUDOS LTDA,NAO,40000,CENTRO,LAPA
2,321106000197,321106,MATRIZ,VIRTUAL TECNOLOGIA & SERVICOS LTDA,NAO,5000,PRIMAVERA,NOVO HAMBURGO
3,358376000172,358376,MATRIZ,SARTOR ASSESSORIA E COMERCIO DE INFORMATICA LTDA,SIM,0,SAO PELEGRINO,CAXIAS DO SUL
4,563375000160,563375,MATRIZ,INDEXX INFORMATICA LTDA,SIM,0,CENTRO,TRES COROAS
5,586312000129,586312,MATRIZ,DATAMICRO SISTEMAS LTDA,SIM,0,VILA NOVA,BLUMENAU
6,587384000190,587384,MATRIZ,INOVATIVA INFORMATICA LTDA,SIM,0,BACACHERI,CURITIBA
7,606458000199,606458,MATRIZ,MERCODATA ENGENHARIA DE SISTEMAS LTDA,NAO,50000,PACAEMBU,CASCAVEL
8,714851000104,714851,MATRIZ,MKT SERVICOS DE MARKETING E TECNOLOGIA - EIRELI,NAO,320000,CENTRO CIVICO,CURITIBA
9,724082000117,724082,MATRIZ,FUNDACAO SOFTVILLE,NAO,0,CENTRO,JOINVILLE
10,841331000154,841331,MATRIZ,SOFTNEW SISTEMAS E CONSULTORIA EM INFORMATICA LTDA,SIM,15000,NOSSA SENHORA DAS GRACAS,CANOAS
11,846686000136,846686,MATRIZ,HORUS INFORMATICA LTDA,NAO,200000,BATEL,CURITIBA
12,890266000157,890266,MATRIZ,SAM INFORMATICA LTDA,NAO,0,BELEM VELHO,PORTO ALEGRE
13,1240559000151,1240559,MATRIZ,PRO UPPER CONSULTORIA & ASSESSORIA EM OS&M LTDA,NAO,0,CIDADE BAIXA,PORTO ALEGRE
14,1302359000186,1302359,MATRIZ,UNIWARE CONS E COMERCIO DE EQUIP P/ INFORMATICA LTDA,NAO,60000,JD. NIKKO,LONDRINA
15,1307121000143,1307121,MATRIZ,EDUARDO HENRIQUE PEREIRA DE ARRUDA,NAO,0,BELA VISTA,PORTO ALEGRE
16,1412181000126,1412181,MATRIZ,DIFERENZA CONSULTORIA EM TECNOLOGIA EIRELI,NAO,600000,HAMBURGO VELHO,NOVO HAMBURGO
17,1413885000113,1413885,MATRIZ,SIX TECH DESENVOLVIMENTO SISTEMAS DE INFORMATICA LTDA,SIM,0,PILARZINHO,CURITIBA
18,1493662000103,1493662,MATRIZ,TRIPLICE CONSULTORIA E SERVICOS LTDA,SIM,50000,CENTRO,FLORIANOPOLIS
19,1507578000100,1507578,MATRIZ,GABARDO CONSULTORIA E INFORMATICA LTDA,NAO,0,PASSO D'AREIA,PORTO ALEGRE
20,1519924000161,1519924,MATRIZ,BERGERSON CONSULTING S/C LTDA,NAO,0,CENTRO,CURITIBA
21,1579286000174,1579286,MATRIZ,SAFEWEB SEGURANCA DA INFORMACAO LTDA.,NAO,10100000,SANTANA,PORTO ALEGRE
22,1718839000122,1718839,MATRIZ,E. SILVA CONSULTORIA LTDA,NAO,20000,SAO JOAO,PORTO ALEGRE
23,1768748000100,1768748,MATRIZ,FORUM CERTIFICACAO DIGITAL SOCIEDADE SIMPLES LTDA,NAO,0,PRAIA DE BELAS,PORTO ALEGRE
24,1796566000134,1796566,MATRIZ,SARDO SERVICOS DE INFORMATICA LTDA,NAO,0,CENTRO,RIO NEGRINHO
25,2019301000192,2019301,MATRIZ,FIDARE LTDA,NAO,0,MOSSUNGUE,CURITIBA
26,2265894000177,2265894,MATRIZ,ISO ENTERPRISE INFORMATICA LTDA,NAO,259999,PAROLIN,CURITIBA
27,2306226000140,2306226,MATRIZ,LUME SERVICOS DE TECNOLOGIA S/A,NAO,5000000,CENTRO,PINHAIS
28,2314840000154,2314840,MATRIZ,UNIDAC CONSULTORIA EM TECNOLOGIA DA INFORMACAO LTDA,SIM,100000,JARDIM LINDOIA,PORTO ALEGRE
29,2318794000161,2318794,MATRIZ,EVERTON RAMOS DE MORAES EIRELI,SIM,105000,ESTANCIA VELHA,CANOAS
30,2437196000101,2437196,MATRIZ,"LUMINA - INFORMATICA, CONSULTORIA E SERVICOS LTDA",SIM,20000,VELHA,BLUMENAU
31,2513147000100,2513147,MATRIZ,BENDITO LTDA,NAO,24000,VILA BAEPENDI,JARAGUA DO SUL
32,2622879000139,2622879,MATRIZ,C R NET LTDA,SIM,60000,CHACARAS E LOTES,MARIALVA
33,2716083000145,2716083,MATRIZ,BRAZPINE SERVICE SERVICOS PROCESSOS TECNOLOGIA LTDA,NAO,100000,CRISTO REI,SAO LEOPOLDO
34,2816751000106,2816751,MATRIZ,PARADIGMA BUSINESS SOLUTIONS LTDA,NAO,4000000,SANTO ANTONIO DE LISBOA,FLORIANOPOLIS
35,2904609000110,2904609,MATRIZ,FATOR I CONSULTORIA LTDA,NAO,25000,SANTA FELICIDADE,CURITIBA
36,2908992000185,2908992,MATRIZ,EXECUCAO GESTAO E CONSULTORIA EM INFORMATICA LTDA.,NAO,1500000,CENTRO,PORTO ALEGRE
37,2932712000174,2932712,MATRIZ,BHB SISTEMAS DE INFORMATICA LTDA.,NAO,0,PETROPOLIS,PORTO ALEGRE
38,2969247000146,2969247,MATRIZ,BATECH MARKETING E TECNOLOGIA LTDA.,NAO,0,CENTRO,CURITIBA
39,3078155000139,3078155,MATRIZ,CABLING TELECOM E CONSULTORIA EIRELI,NAO,95400,SARANDI,PORTO ALEGRE
